Date,Time,Frozen,Rapunzel,PeterPan,Tinker,Soarin,ToT,ToyStory,Indy,Raging,Center,Steamer_Med,Gondola,Fortress,TurtleTalk,BigCity,Steamer_Am,Railway_Am,Nemo,Aquatopia,Railway_PD,Steamer_Lost,MagicLamp,Jasmine,Sindbad,Caravan,Mermaid_Theater,Ariel_Play,FlyingFish,Scuttle,Jellyfish,Blowfish,Whirlpool,20000Leagues
20260112,07:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260112,07:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260112,08:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260112,08:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260112,09:15,50,5,5,10,80,10,20,-,5,-,5,5,-,15,-,-,5,15,5,5,5,-,5,5,-,-,-,5,5,5,5,5,5
20260112,09:45,140,70,30,30,160,50,100,-,5,50,20,5,-,20,-,-,5,15,5,5,5,-,5,5,-,-,-,5,5,5,5,5,5
20260112,10:15,140,80,70,50,220,50,120,-,50,60,10,15,-,20,-,-,20,15,5,5,5,15,5,5,5,-,-,5,5,5,5,5,10
20260112,10:45,160,80,60,50,200,25,100,-,60,70,5,5,-,15,-,-,10,20,5,5,5,15,20,5,5,-,-,15,10,5,10,5,5
20260112,11:15,140,70,50,40,180,30,70,-,60,70,-,-,-,15,5,-,15,15,5,5,-,15,15,5,-,-,-,15,10,5,10,10,5
20260112,11:45,120,50,40,40,160,30,60,-,50,60,-,-,-,15,5,-,10,15,10,10,-,15,10,5,5,-,-,15,10,10,15,5,5
20260112,12:15,120,60,-,40,160,30,70,-,50,70,5,5,5,15,5,5,15,15,10,10,5,15,20,5,5,-,-,15,10,10,15,5,10
20260112,12:45,120,60,-,50,120,30,80,-,50,60,-,5,5,15,5,-,10,15,10,10,-,15,20,5,5,-,-,15,10,10,15,5,5
20260112,13:15,120,50,30,40,180,30,80,-,70,70,-,-,5,15,5,-,15,15,20,20,-,15,20,5,5,-,-,25,10,15,20,10,5
20260112,13:45,70,50,60,40,200,30,70,-,60,60,-,-,5,15,5,-,15,15,15,20,-,15,15,5,5,-,-,25,15,10,20,10,10
20260112,14:15,90,50,40,40,200,30,70,-,60,50,-,-,5,20,5,-,15,15,15,20,-,15,15,5,5,-,-,15,15,10,20,15,10
20260112,14:45,100,40,50,40,180,30,80,-,60,60,5,20,5,20,5,5,15,15,15,20,5,15,20,5,5,-,-,25,15,10,20,15,5
20260112,15:15,120,50,50,40,200,30,80,-,70,60,-,-,5,20,5,-,15,15,10,20,-,15,20,5,5,-,-,15,15,10,20,15,5
20260112,15:45,100,40,40,40,200,40,90,-,80,60,-,-,5,15,5,-,20,15,15,20,-,15,10,5,5,-,-,15,20,10,20,15,10
20260112,16:15,90,40,50,40,220,30,90,-,60,60,5,15,5,15,5,5,15,15,15,15,5,15,10,5,5,-,-,15,10,10,20,15,10
20260112,16:45,80,40,40,40,180,25,70,-,50,60,5,20,5,15,5,5,15,15,10,20,10,15,20,5,5,-,-,20,15,10,20,15,5
20260112,17:15,90,40,40,40,160,30,70,-,60,50,5,25,-,20,-,5,15,15,5,15,5,15,15,5,5,-,-,20,10,10,20,15,5
20260112,17:45,100,25,30,40,160,25,70,-,60,50,5,20,-,20,-,5,10,15,10,15,5,15,10,5,5,-,-,15,5,5,20,10,5
20260112,18:15,90,40,40,30,140,20,70,-,70,50,5,10,-,15,-,5,15,15,5,15,10,15,10,5,5,-,-,5,5,5,10,10,5
20260112,18:45,90,25,20,40,140,25,60,-,50,40,5,10,-,15,-,-,15,15,5,15,5,15,10,5,5,-,-,10,5,5,15,5,5
20260112,19:15,80,30,20,25,120,25,80,-,40,50,5,10,-,20,-,-,10,15,5,20,5,15,10,5,5,-,-,5,5,5,10,5,5
20260112,19:45,50,20,20,30,-,20,70,-,40,40,5,5,-,20,-,-,5,15,5,15,5,15,5,5,5,-,-,5,5,5,10,5,5
20260112,20:15,40,15,10,25,-,20,60,-,40,30,5,5,-,20,-,-,5,15,5,15,10,15,5,5,5,-,-,5,5,5,5,5,5
20260112,20:45,-,5,5,15,-,13,-,-,15,20,5,5,-,25,-,-,5,15,5,5,5,-,5,5,5,-,-,5,5,5,5,5,5
20260112,21:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20260112,21:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
